종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"006380","카프로","KOSPI","화학","3660","0","0.00","618539985360"
"001620","케이비아이동국실업","KOSPI","운송장비·부품","594","3","0.51","66108060414"
"029460","케이씨","KOSPI","의료·정밀기기","31450","-500","-1.56","416123221350"
"281820","케이씨텍","KOSPI","의료·정밀기기","46000","400","0.88","951754858000"
"381970","케이카","KOSPI","유통","15070","-70","-0.46","735730179360"
"145270","케이탑리츠","KOSPI","부동산","915","1","0.11","43975608210"
"417310","코람코더원리츠","KOSPI","부동산","8960","60","0.67","361984000000"
"357120","코람코라이프인프라리츠","KOSPI","부동산","4660","45","0.98","453582749640"
"007815","코리아써우","KOSPI","전기·전자","16520","250","1.54","48976678800"
"007810","코리아써키트","KOSPI","전기·전자","58400","100","0.17","1379451858400"
"00781K","코리아써키트2우B","KOSPI","전기·전자","12900","-270","-2.05","10109717100"
"003690","코리안리","KOSPI","보험","13580","170","1.27","2645669600980"
"192820","코스맥스","KOSPI","화학","203000","-6000","-2.87","2303950327000"
"044820","코스맥스비티아이","KOSPI","기타금융","14060","0","0.00","135031129260"
"005070","코스모신소재","KOSPI","화학","52700","-600","-1.13","1713316841200"
"005420","코스모화학","KOSPI","화학","16870","-430","-2.49","647946806360"
"071950","코아스","KOSPI","기타제조","3860","30","0.78","45598569860"
"002020","코오롱","KOSPI","기타금융","63600","-2900","-4.36","820928448000"
"138490","코오롱ENP","KOSPI","화학","11760","-90","-0.76","446880000000"
"003070","코오롱글로벌","KOSPI","건설","10060","290","2.97","255765027540"
"003075","코오롱글로벌우","KOSPI","건설","15470","130","0.85","11459201390"
"002025","코오롱우","KOSPI","기타금융","28600","-750","-2.56","33188498200"
"120110","코오롱인더","KOSPI","화학","62700","0","0.00","1725447005700"
"120115","코오롱인더우","KOSPI","화학","28100","0","0.00","77776866000"
"021240","코웨이","KOSPI","일반서비스","89600","1700","1.93","6443058316800"
"036420","콘텐트리중앙","KOSPI","오락·문화","7240","0","0.00","139459109920"
"024720","콜마홀딩스","KOSPI","기타금융","10250","20","0.20","351536654750"
"192400","쿠쿠홀딩스","KOSPI","기타금융","28750","-100","-0.35","1022412818750"
"284740","쿠쿠홈시스","KOSPI","일반서비스","25350","-50","-0.20","568786315500"
"264900","크라운제과","KOSPI","음식료·담배","8780","60","0.69","109959403000"
"26490K","크라운제과우","KOSPI","음식료·담배","9380","-40","-0.42","7255992800"
"005740","크라운해태홀딩스","KOSPI","기타금융","7230","60","0.84","107346318810"
"005745","크라운해태홀딩스우","KOSPI","기타금융","7850","0","0.00","4715699100"
"259960","크래프톤","KOSPI","IT 서비스","257000","-1000","-0.39","12182784567000"
"020120","키다리스튜디오","KOSPI","IT 서비스","4090","-65","-1.56","151590802940"
"039490","키움증권","KOSPI","증권","469500","17000","3.76","12729153016500"
"014580","태경비케이","KOSPI","비금속","4670","-35","-0.74","128813077000"
"015890","태경산업","KOSPI","화학","4910","-30","-0.61","143513162500"
"006890","태경케미컬","KOSPI","화학","7990","0","0.00","92684000000"
"003240","태광산업","KOSPI","화학","1100000","-87000","-7.33","1224740000000"
"011280","태림포장","KOSPI","종이·목재","2200","-10","-0.45","155773068000"
"004100","태양금속","KOSPI","운송장비·부품","2500","5","0.20","91750000000"
